id,marker,styleType,rank
12,NEST,placeholder,
15,ef,extendednote,
18,ex,extendednote,
26,id,paragraph,
36,usfm,paragraph,1
46,ide,paragraph,1
58,h,paragraph,1
68,h1,paragraph,1
78,h2,paragraph,1
88,h3,paragraph,1
102,toc1,paragraph,1
115,toc2,paragraph,1
129,toc3,paragraph,1
142,toca1,paragraph,1
155,toca2,paragraph,1
168,toca3,paragraph,1
181,rem,paragraph,
192,sts,paragraph,
204,restore,paragraph,99
220,imt,paragraph,5
234,imt1,paragraph,5
248,imt2,paragraph,5
262,imt3,paragraph,5
276,imt4,paragraph,5
290,imte,paragraph,7
304,imte1,paragraph,7
317,imte2,paragraph,7
331,is,paragraph,6
345,is1,paragraph,6
359,is2,paragraph,6
373,iot,paragraph,6
384,io,paragraph,6
395,io1,paragraph,6
406,io2,paragraph,6
417,io3,paragraph,6
428,io4,paragraph,6
438,ior,character,
449,ip,paragraph,6
459,im,paragraph,6
472,ipi,paragraph,6
484,imi,paragraph,6
496,ili,paragraph,6
508,ili1,paragraph,6
520,ili2,paragraph,6
534,ipq,paragraph,6
547,imq,paragraph,6
561,ipr,paragraph,6
571,ib,paragraph,6
584,iq,paragraph,6
597,iq1,paragraph,6
610,iq2,paragraph,6
623,iq3,paragraph,6
635,iex,paragraph,
646,iqt,character,
656,ie,paragraph,6
671,c,paragraph,8
683,ca,character,
698,cp,paragraph,4
711,cl,paragraph,
722,cd,paragraph,
732,v,character,
744,va,character,
756,vp,character,
769,p,paragraph,4
779,m,paragraph,4
792,po,paragraph,4
803,pr,paragraph,4
814,cls,paragraph,4
825,pmo,paragraph,
837,pm,paragraph,
848,pmc,paragraph,
860,pmr,paragraph,
873,pi,paragraph,4
886,pi1,paragraph,4
899,pi2,paragraph,4
912,pi3,paragraph,4
923,pc,paragraph,4
935,mi,paragraph,4
945,nb,paragraph,4
959,q,paragraph,4
971,q1,paragraph,4
983,q2,paragraph,4
995,q3,paragraph,4
1007,q4,paragraph,4
1018,qc,paragraph,4
1029,qr,paragraph,4
1041,qs,character,4
1052,qa,paragraph,4
1064,qac,character,4
1075,qm,paragraph,
1086,qm1,paragraph,
1097,qm2,paragraph,
1108,qm3,paragraph,
1120,qd,paragraph,4
1130,b,paragraph,4
1146,mt,paragraph,3
1160,mt1,paragraph,3
1173,mt2,paragraph,3
1187,mt3,paragraph,3
1200,mt4,paragraph,3
1214,mte,paragraph,2
1228,mte1,paragraph,2
1241,mte2,paragraph,2
1255,ms,paragraph,4
1269,ms1,paragraph,4
1283,ms2,paragraph,4
