:START_ID,:END_ID,:TYPE
id,usfm,OCCURS_UNDER
id,ide,OCCURS_UNDER
id,h,OCCURS_UNDER
id,h1,OCCURS_UNDER
id,h2,OCCURS_UNDER
id,h3,OCCURS_UNDER
h,toc1,OCCURS_UNDER
h1,toc1,OCCURS_UNDER
h2,toc1,OCCURS_UNDER
h3,toc1,OCCURS_UNDER
id,toc1,OCCURS_UNDER
h,toc2,OCCURS_UNDER
h1,toc2,OCCURS_UNDER
h2,toc2,OCCURS_UNDER
h3,toc2,OCCURS_UNDER
id,toc2,OCCURS_UNDER
h,toc3,OCCURS_UNDER
h1,toc3,OCCURS_UNDER
h2,toc3,OCCURS_UNDER
h3,toc3,OCCURS_UNDER
id,toc3,OCCURS_UNDER
h,toca1,OCCURS_UNDER
h1,toca1,OCCURS_UNDER
h2,toca1,OCCURS_UNDER
h3,toca1,OCCURS_UNDER
h,toca2,OCCURS_UNDER
h1,toca2,OCCURS_UNDER
h2,toca2,OCCURS_UNDER
h3,toca2,OCCURS_UNDER
h,toca3,OCCURS_UNDER
h1,toca3,OCCURS_UNDER
h2,toca3,OCCURS_UNDER
h3,toca3,OCCURS_UNDER
id,rem,OCCURS_UNDER
ide,rem,OCCURS_UNDER
c,rem,OCCURS_UNDER
id,sts,OCCURS_UNDER
ide,sts,OCCURS_UNDER
c,sts,OCCURS_UNDER
id,restore,OCCURS_UNDER
id,imt,OCCURS_UNDER
id,imt1,OCCURS_UNDER
id,imt2,OCCURS_UNDER
id,imt3,OCCURS_UNDER
id,imt4,OCCURS_UNDER
id,imte,OCCURS_UNDER
id,imte1,OCCURS_UNDER
id,imte2,OCCURS_UNDER
id,is,OCCURS_UNDER
id,is1,OCCURS_UNDER
id,is2,OCCURS_UNDER
id,iot,OCCURS_UNDER
id,io,OCCURS_UNDER
id,io1,OCCURS_UNDER
id,io2,OCCURS_UNDER
id,io3,OCCURS_UNDER
id,io4,OCCURS_UNDER
id,ior,OCCURS_UNDER
io,ior,OCCURS_UNDER
io1,ior,OCCURS_UNDER
io2,ior,OCCURS_UNDER
io3,ior,OCCURS_UNDER
io4,ior,OCCURS_UNDER
NEST,ior,OCCURS_UNDER
id,ip,OCCURS_UNDER
id,im,OCCURS_UNDER
id,ipi,OCCURS_UNDER
id,imi,OCCURS_UNDER
id,ili,OCCURS_UNDER
id,ili1,OCCURS_UNDER
id,ili2,OCCURS_UNDER
id,ipq,OCCURS_UNDER
id,imq,OCCURS_UNDER
id,ipr,OCCURS_UNDER
id,ib,OCCURS_UNDER
id,iq,OCCURS_UNDER
id,iq1,OCCURS_UNDER
id,iq2,OCCURS_UNDER
id,iq3,OCCURS_UNDER
id,iex,OCCURS_UNDER
c,iex,OCCURS_UNDER
imt,iqt,OCCURS_UNDER
imt1,iqt,OCCURS_UNDER
imt2,iqt,OCCURS_UNDER
imt3,iqt,OCCURS_UNDER
imt4,iqt,OCCURS_UNDER
ib,iqt,OCCURS_UNDER
ie,iqt,OCCURS_UNDER
ili,iqt,OCCURS_UNDER
ili1,iqt,OCCURS_UNDER
ili2,iqt,OCCURS_UNDER
im,iqt,OCCURS_UNDER
imi,iqt,OCCURS_UNDER
imq,iqt,OCCURS_UNDER
io,iqt,OCCURS_UNDER
io1,iqt,OCCURS_UNDER
io2,iqt,OCCURS_UNDER
io3,iqt,OCCURS_UNDER
io4,iqt,OCCURS_UNDER
iot,iqt,OCCURS_UNDER
ip,iqt,OCCURS_UNDER
ipi,iqt,OCCURS_UNDER
ipq,iqt,OCCURS_UNDER
ipr,iqt,OCCURS_UNDER
iq,iqt,OCCURS_UNDER
iq1,iqt,OCCURS_UNDER
iq2,iqt,OCCURS_UNDER
iq3,iqt,OCCURS_UNDER
is,iqt,OCCURS_UNDER
is1,iqt,OCCURS_UNDER
is2,iqt,OCCURS_UNDER
imte,iqt,OCCURS_UNDER
imte1,iqt,OCCURS_UNDER
imte2,iqt,OCCURS_UNDER
iex,iqt,OCCURS_UNDER
id,ie,OCCURS_UNDER
id,c,OCCURS_UNDER
c,ca,OCCURS_UNDER
c,cp,OCCURS_UNDER
id,cl,OCCURS_UNDER
c,cl,OCCURS_UNDER
ms,cl,OCCURS_UNDER
ms1,cl,OCCURS_UNDER
ms2,cl,OCCURS_UNDER
ms3,cl,OCCURS_UNDER
mr,cl,OCCURS_UNDER
c,cd,OCCURS_UNDER
lh,v,OCCURS_UNDER
li,v,OCCURS_UNDER
li1,v,OCCURS_UNDER
li2,v,OCCURS_UNDER
li3,v,OCCURS_UNDER
li4,v,OCCURS_UNDER
lf,v,OCCURS_UNDER
lim,v,OCCURS_UNDER
lim1,v,OCCURS_UNDER
lim2,v,OCCURS_UNDER
lim3,v,OCCURS_UNDER
lim4,v,OCCURS_UNDER
m,v,OCCURS_UNDER
mi,v,OCCURS_UNDER
nb,v,OCCURS_UNDER
p,v,OCCURS_UNDER
pc,v,OCCURS_UNDER
ph,v,OCCURS_UNDER
phi,v,OCCURS_UNDER
pi,v,OCCURS_UNDER
pi1,v,OCCURS_UNDER
pi2,v,OCCURS_UNDER
pi3,v,OCCURS_UNDER
pr,v,OCCURS_UNDER
pmo,v,OCCURS_UNDER
pm,v,OCCURS_UNDER
pmc,v,OCCURS_UNDER
pmr,v,OCCURS_UNDER
po,v,OCCURS_UNDER
q,v,OCCURS_UNDER
q1,v,OCCURS_UNDER
q2,v,OCCURS_UNDER
q3,v,OCCURS_UNDER
q4,v,OCCURS_UNDER
qc,v,OCCURS_UNDER
qr,v,OCCURS_UNDER
qd,v,OCCURS_UNDER
qm,v,OCCURS_UNDER
qm1,v,OCCURS_UNDER
qm2,v,OCCURS_UNDER
qm3,v,OCCURS_UNDER
tr,v,OCCURS_UNDER
tc1,v,OCCURS_UNDER
tc2,v,OCCURS_UNDER
tc3,v,OCCURS_UNDER
tc4,v,OCCURS_UNDER
tcr1,v,OCCURS_UNDER
tcr2,v,OCCURS_UNDER
tcr3,v,OCCURS_UNDER
tcr4,v,OCCURS_UNDER
s3,v,OCCURS_UNDER
d,v,OCCURS_UNDER
sp,v,OCCURS_UNDER
lh,va,OCCURS_UNDER
li,va,OCCURS_UNDER
li1,va,OCCURS_UNDER
li2,va,OCCURS_UNDER
li3,va,OCCURS_UNDER
li4,va,OCCURS_UNDER
lf,va,OCCURS_UNDER
lim,va,OCCURS_UNDER
lim1,va,OCCURS_UNDER
lim2,va,OCCURS_UNDER
lim3,va,OCCURS_UNDER
lim4,va,OCCURS_UNDER
m,va,OCCURS_UNDER
mi,va,OCCURS_UNDER
nb,va,OCCURS_UNDER
p,va,OCCURS_UNDER
pc,va,OCCURS_UNDER
ph,va,OCCURS_UNDER
phi,va,OCCURS_UNDER
pi,va,OCCURS_UNDER
pi1,va,OCCURS_UNDER
pi2,va,OCCURS_UNDER
pi3,va,OCCURS_UNDER
pr,va,OCCURS_UNDER
pmo,va,OCCURS_UNDER
pm,va,OCCURS_UNDER
pmc,va,OCCURS_UNDER
pmr,va,OCCURS_UNDER
po,va,OCCURS_UNDER
q,va,OCCURS_UNDER
q1,va,OCCURS_UNDER
q2,va,OCCURS_UNDER
q3,va,OCCURS_UNDER
q4,va,OCCURS_UNDER
qc,va,OCCURS_UNDER
qr,va,OCCURS_UNDER
qd,va,OCCURS_UNDER
qm,va,OCCURS_UNDER
qm1,va,OCCURS_UNDER
qm2,va,OCCURS_UNDER
qm3,va,OCCURS_UNDER
tr,va,OCCURS_UNDER
tc1,va,OCCURS_UNDER
tc2,va,OCCURS_UNDER
tc3,va,OCCURS_UNDER
tc4,va,OCCURS_UNDER
tcr1,va,OCCURS_UNDER
tcr2,va,OCCURS_UNDER
tcr3,va,OCCURS_UNDER
tcr4,va,OCCURS_UNDER
s3,va,OCCURS_UNDER
d,va,OCCURS_UNDER
sp,va,OCCURS_UNDER
cd,vp,OCCURS_UNDER
lh,vp,OCCURS_UNDER
li,vp,OCCURS_UNDER
li1,vp,OCCURS_UNDER
li2,vp,OCCURS_UNDER
li3,vp,OCCURS_UNDER
